Sample copy: identifying values are redacted where present; diagnostic results are retained.

Collection started: 2026-09-09 08:33:42 -0500
Collection ended:   2026-09-09 08:33:45 -0500
Script version:     2.2.0
Source revision:    cee9c63

Probe: Loaded extensions
Result: OK
Exit code: 0
Command: kextstat

Executing: /usr/bin/kmutil showloaded
No variant specified, falling back to release
Index Refs Address            Size       Wired      Name (Version) UUID <Linked Against>
  136    1 0xffffff7f97c62000 0x13000    0x13000    com.apple.driver.AppleHDAController (340.2) 916BD505-3472-3D80-AD3B-A533C356BF49 <135 134 109 16 9 8 7 6 3 1>
  138    0 0xffffff7f97db0000 0x85000    0x85000    com.apple.driver.AppleIntelBDWGraphics (18.0.8) 48F8D49F-7BBB-370B-8291-610C9EAFA80B <115 109 96 16 9 8 7 6 3 1>
  139    0 0xffffff7f98f21000 0x2000     0x2000     com.apple.driver.AppleLPC (3.1) 94336CF5-7F47-3243-B1C4-BE361B8A2577 <120 16 7 6 3>
  140    0 0xffffff7f979fa000 0xd000     0xd000     com.apple.driver.AppleDiskImages2 (126.141.2) A13AF7F2-5678-3385-B817-2D81758FF5B7 <33 8 7 6 3 1>
  141    0 0xffffff7f97d91000 0x14000    0x14000    com.apple.driver.AppleHV (1) 3720FD31-E891-365D-94C4-3B0BFF75D826 <42 9 8 7 6 3 1>
  142    0 0xffffff7f97da9000 0x4000     0x4000     com.apple.driver.AppleIPAppender (1.0) 3A84F197-EA46-3E66-AF4B-608C5C59238C <78 49 9 8 7 6 3 1>
  143    0 0xffffff7f990c8000 0x1000     0x1000     com.apple.iokit.BroadcomBluetooth20703USBTransport (9.0.0) 50AC478F-60AC-3ED8-A038-639E7E5D2D2D <9 8 7 6 3>
  144    0 0xffffff7f990cb000 0x1000     0x1000     com.apple.iokit.BroadcomBluetoothHostControllerUSBTransport (9.0.0) D915E458-13DE-3BAB-A921-7D63D7103C28 <9 8 7 6 3>
  145    0 0xffffff7f990ce000 0x1000     0x1000     com.apple.iokit.CSRBluetoothHostControllerUSBTransport (9.0.0) BA1AFADC-DC19-3E0D-B850-49AFD4B5B085 <9 8 7 6 3>
  146    1 0xffffff8002e1a000 0x2000     0x2000     com.apple.iokit.IOEthernetAVBController (1.1.0) 53AFF141-D4EF-3D9B-955C-260E6F89EF88 <49 7 6 3 1>
